,HOUSEID,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
5129,30318393,>60,4,0,Not Sure,non-work
5130,30318450,>60,4,non-work,Not Sure,non-work
5131,30318504,40 - 50,5,1,5-10 miles,10 - 20
5132,30318733,>60,3,non-work,Not Sure,non-work
5133,30318882,30 - 40,3,>0.5,<=5 miles,<=10
5134,30318886,40 - 50,5,1,<=5 miles,>30
5135,30319006,30 - 40,5,0.5,10 - 15 miles,10 - 20
5136,30319144,30 - 40,5,1,>15 miles,>30
5137,30319228,>60,4,non-work,Not Sure,non-work
5138,30319268,40 - 50,3,non-work,Not Sure,non-work
5139,30319354,40 - 50,5,<0.5,>15 miles,20 - 30
5140,30319465,30 - 40,4,<0.5,10 - 15 miles,20 - 30
5141,30319619,40 - 50,5,1,5-10 miles,10 - 20
5142,30319678,>60,4,non-work,Not Sure,non-work
5143,30319800,>60,5,0,10 - 15 miles,10 - 20
5144,30319888,>60,5,non-work,Not Sure,non-work
5145,30319918,<=30,5,1,>15 miles,>30
5146,30319945,50 - 60,5,0.5,5-10 miles,10 - 20
5147,30319952,50 - 60,4,1,<=5 miles,<=10
5148,30320023,<=30,5,<0.5,>15 miles,>30
5149,30320241,40 - 50,4,<0.5,<=5 miles,<=10
5150,30320260,50 - 60,4,non-work,Not Sure,non-work
5151,30320333,50 - 60,5,1,Not Sure,non-work
5152,30320355,40 - 50,2,<0.5,5-10 miles,20 - 30
5153,30320389,>60,4,non-work,Not Sure,non-work
5154,30320400,50 - 60,3,1,10 - 15 miles,10 - 20
5155,30320438,30 - 40,3,0,<=5 miles,20 - 30
5156,30320448,>60,2,non-work,Not Sure,non-work
5157,30320501,>60,3,non-work,Not Sure,non-work
5158,30320593,>60,4,non-work,Not Sure,non-work
5159,30320600,>60,4,0,<=5 miles,>30
5160,30320634,50 - 60,2,1,<=5 miles,<=10
5161,30320640,50 - 60,3,1,>15 miles,20 - 30
5162,30320737,>60,2,1,Not Sure,non-work
5163,30320765,>60,3,non-work,Not Sure,non-work
5164,30320772,30 - 40,5,non-work,Not Sure,non-work
5165,30320774,>60,4,non-work,Not Sure,non-work
5166,30320789,30 - 40,5,>0.5,10 - 15 miles,>30
5167,30320811,50 - 60,5,1,>15 miles,20 - 30
5168,30320889,<=30,5,<0.5,>15 miles,20 - 30
5169,30320909,50 - 60,3,1,>15 miles,>30
5170,30321112,40 - 50,5,>0.5,<=5 miles,<=10
5171,30321184,>60,3,non-work,Not Sure,non-work
5172,30321195,30 - 40,4,non-work,Not Sure,non-work
5173,30321287,>60,5,non-work,Not Sure,non-work
5174,30321331,>60,5,non-work,Not Sure,non-work
5175,30321422,>60,2,non-work,Not Sure,non-work
5176,30321429,>60,3,0,<=5 miles,>30
5177,30321449,30 - 40,5,<0.5,>15 miles,>30
5178,30321560,>60,2,non-work,Not Sure,non-work
5179,30321635,40 - 50,5,non-work,Not Sure,non-work
5180,30321674,<=30,2,0,<=5 miles,<=10
5181,30321683,>60,5,non-work,Not Sure,non-work
5182,30321688,>60,3,non-work,Not Sure,non-work
5183,30321704,40 - 50,4,<0.5,5-10 miles,10 - 20
5184,30321776,>60,3,0.5,10 - 15 miles,20 - 30
5185,30321779,>60,3,0.5,>15 miles,20 - 30
5186,30321881,30 - 40,4,1,<=5 miles,<=10
5187,30321887,<=30,4,non-work,Not Sure,non-work
5188,30321908,<=30,4,0.5,>15 miles,>30
5189,30322025,<=30,5,1,5-10 miles,10 - 20
5190,30322150,40 - 50,3,1,<=5 miles,<=10
5191,30322159,<=30,5,<0.5,<=5 miles,<=10
5192,30322171,<=30,5,>0.5,5-10 miles,10 - 20
5193,30322401,>60,4,0,Not Sure,non-work
5194,30322462,>60,2,non-work,Not Sure,non-work
5195,30322528,>60,2,non-work,Not Sure,non-work
5196,30322533,<=30,4,>0.5,10 - 15 miles,10 - 20
5197,30322559,>60,4,non-work,Not Sure,non-work
5198,30322647,>60,3,non-work,Not Sure,non-work
5199,30322669,50 - 60,3,1,>15 miles,20 - 30
5200,30322747,>60,3,non-work,Not Sure,non-work
5201,30322771,50 - 60,4,1,>15 miles,20 - 30
5202,30322836,>60,5,<0.5,Not Sure,non-work
5203,30322869,>60,5,non-work,Not Sure,non-work
5204,30322969,30 - 40,5,1,>15 miles,>30
5205,30323002,30 - 40,5,1,>15 miles,20 - 30
5206,30323014,<=30,5,<0.5,>15 miles,>30
5207,30323055,>60,5,non-work,Not Sure,non-work
5208,30323075,30 - 40,4,>0.5,10 - 15 miles,20 - 30
5209,30323149,50 - 60,5,0.5,5-10 miles,10 - 20
5210,30323220,40 - 50,4,non-work,Not Sure,non-work
5211,30323239,>60,5,non-work,Not Sure,non-work
5212,30323305,40 - 50,4,1,5-10 miles,20 - 30
5213,30323478,>60,2,non-work,Not Sure,non-work
5214,30323598,30 - 40,4,<0.5,5-10 miles,10 - 20
5215,30323645,>60,3,0,10 - 15 miles,20 - 30
5216,30323649,>60,5,0,>15 miles,>30
5217,30323665,50 - 60,3,0.5,>15 miles,>30
5218,30323830,>60,3,0,10 - 15 miles,10 - 20
5219,30323856,40 - 50,5,1,10 - 15 miles,10 - 20
5220,30323875,<=30,3,1,<=5 miles,<=10
5221,30323981,>60,1,non-work,Not Sure,non-work
5222,30323982,<=30,3,<0.5,5-10 miles,10 - 20
5223,30323998,30 - 40,3,<0.5,10 - 15 miles,10 - 20
5224,30324001,<=30,5,0.5,>15 miles,20 - 30
5225,30324097,50 - 60,5,0,5-10 miles,10 - 20
5226,30324164,<=30,5,0.5,>15 miles,>30
5227,30324175,>60,1,non-work,Not Sure,non-work
5228,30324177,50 - 60,5,1,<=5 miles,<=10
5229,30324178,30 - 40,5,<0.5,>15 miles,20 - 30
5230,30324181,>60,3,non-work,Not Sure,non-work
5231,30324192,50 - 60,4,1,>15 miles,20 - 30
5232,30324206,30 - 40,3,0.5,10 - 15 miles,20 - 30
5233,30324528,50 - 60,2,1,>15 miles,>30
5234,30324542,50 - 60,3,0.5,10 - 15 miles,20 - 30
5235,30324585,>60,5,1,>15 miles,>30
5236,30324678,>60,3,non-work,Not Sure,non-work
5237,30324690,>60,5,0.5,<=5 miles,<=10
5238,30324731,30 - 40,3,0,5-10 miles,20 - 30
5239,30324770,40 - 50,5,1,>15 miles,>30
5240,30324814,>60,4,non-work,Not Sure,non-work
5241,30324816,<=30,4,>0.5,<=5 miles,20 - 30
5242,30324893,>60,3,non-work,Not Sure,non-work
5243,30324934,<=30,5,0.5,<=5 miles,<=10
5244,30324996,50 - 60,5,0.5,5-10 miles,>30
5245,30325084,>60,5,non-work,Not Sure,non-work
5246,30325140,40 - 50,5,<0.5,5-10 miles,10 - 20
5247,30325177,>60,4,non-work,Not Sure,non-work
5248,30325180,>60,3,<0.5,10 - 15 miles,10 - 20
5249,30325183,>60,2,non-work,Not Sure,non-work
5250,30325287,40 - 50,5,0.5,<=5 miles,<=10
5251,30325463,>60,3,0,<=5 miles,<=10
5252,30325484,<=30,4,non-work,Not Sure,non-work
5253,30325558,>60,5,non-work,Not Sure,non-work
5254,30325639,50 - 60,3,1,<=5 miles,10 - 20
5255,30325803,>60,3,non-work,Not Sure,non-work
5256,30325921,>60,3,non-work,Not Sure,non-work
5257,30325951,50 - 60,2,0,Not Sure,non-work
5258,30325973,50 - 60,4,0.5,<=5 miles,<=10
5259,30325990,50 - 60,3,0.5,10 - 15 miles,10 - 20
5260,30326066,>60,3,non-work,Not Sure,non-work
5261,30326162,>60,5,1,5-10 miles,10 - 20
5262,30326207,>60,5,non-work,Not Sure,non-work
5263,30326241,>60,4,non-work,Not Sure,non-work
5264,30326472,<=30,3,non-work,Not Sure,non-work
5265,30326570,>60,2,non-work,Not Sure,non-work
5266,30326587,>60,5,0,10 - 15 miles,10 - 20
5267,30326600,40 - 50,4,1,10 - 15 miles,>30
5268,30326611,>60,3,non-work,Not Sure,non-work
5269,30326646,40 - 50,2,1,>15 miles,>30
5270,30326679,30 - 40,5,<0.5,>15 miles,10 - 20
5271,30326828,50 - 60,3,0,<=5 miles,10 - 20
5272,30326885,30 - 40,4,<0.5,>15 miles,>30
5273,30326904,<=30,3,0.5,>15 miles,20 - 30
5274,30326977,30 - 40,5,>0.5,5-10 miles,10 - 20
5275,30327013,30 - 40,4,0.5,10 - 15 miles,10 - 20
5276,30327031,50 - 60,5,1,>15 miles,>30
5277,30327090,>60,2,non-work,Not Sure,non-work
5278,30327119,>60,4,non-work,Not Sure,non-work
5279,30327272,40 - 50,5,1,>15 miles,20 - 30
5280,30327300,<=30,5,0.5,>15 miles,>30
5281,30327578,<=30,5,<0.5,5-10 miles,10 - 20
5282,30327685,>60,5,non-work,Not Sure,non-work
5283,30327787,>60,4,1,10 - 15 miles,20 - 30
5284,30327821,>60,3,non-work,Not Sure,non-work
5285,30327910,<=30,5,>0.5,<=5 miles,<=10
5286,30327926,>60,3,non-work,Not Sure,non-work
5287,30327951,>60,2,non-work,Not Sure,non-work
5288,30327984,<=30,4,0.5,<=5 miles,<=10
5289,30327985,>60,3,non-work,Not Sure,non-work
5290,30327998,30 - 40,3,0.5,>15 miles,20 - 30
5291,30328022,30 - 40,5,0.5,>15 miles,>30
5292,30328025,>60,5,0,>15 miles,>30
5293,30328082,30 - 40,5,<0.5,Not Sure,non-work
5294,30328188,>60,5,non-work,Not Sure,non-work
5295,30328447,>60,4,0.5,10 - 15 miles,10 - 20
5296,30328514,>60,2,non-work,Not Sure,non-work
5297,30328559,50 - 60,4,0.5,<=5 miles,<=10
5298,30328588,>60,5,non-work,Not Sure,non-work
5299,30328602,>60,5,non-work,Not Sure,non-work
5300,30328664,>60,3,non-work,Not Sure,non-work
5301,30328683,<=30,3,0,>15 miles,20 - 30
5302,30328727,>60,5,0,Not Sure,non-work
5303,30328749,>60,2,non-work,Not Sure,non-work
5304,30328775,30 - 40,5,0.5,>15 miles,>30
5305,30328980,>60,3,0.5,>15 miles,20 - 30
5306,30328983,50 - 60,4,0.5,Not Sure,non-work
5307,30329024,>60,5,0.5,10 - 15 miles,20 - 30
5308,30329045,<=30,5,<0.5,10 - 15 miles,10 - 20
5309,30329068,>60,1,non-work,Not Sure,non-work
5310,30329074,50 - 60,5,0,<=5 miles,10 - 20
5311,30329075,>60,5,non-work,Not Sure,non-work
5312,30329078,>60,3,non-work,Not Sure,non-work
5313,30329109,<=30,3,non-work,Not Sure,non-work
5314,30329176,40 - 50,5,0,<=5 miles,<=10
5315,30329229,40 - 50,3,>0.5,10 - 15 miles,>30
5316,30329324,50 - 60,5,1,Not Sure,non-work
5317,30329371,>60,2,non-work,Not Sure,non-work
5318,30329395,<=30,5,0.5,>15 miles,20 - 30
5319,30329413,>60,2,0.5,10 - 15 miles,10 - 20
5320,30329429,>60,3,non-work,Not Sure,non-work
5321,30329482,30 - 40,5,0.5,5-10 miles,20 - 30
5322,30329537,<=30,5,1,<=5 miles,<=10
5323,30329570,50 - 60,4,0,Not Sure,non-work
5324,30329673,30 - 40,2,1,<=5 miles,20 - 30
5325,30329718,>60,5,0.5,Not Sure,non-work
5326,30329732,>60,2,non-work,Not Sure,non-work
5327,30329837,40 - 50,5,non-work,Not Sure,non-work
5328,30329984,>60,3,non-work,Not Sure,non-work
5329,30330112,30 - 40,4,1,10 - 15 miles,10 - 20
5330,30330151,>60,2,non-work,Not Sure,non-work
5331,30330167,30 - 40,4,>0.5,>15 miles,>30
5332,30330238,>60,3,non-work,Not Sure,non-work
5333,30330293,>60,2,non-work,Not Sure,non-work
5334,30330337,>60,4,non-work,Not Sure,non-work
5335,30330442,50 - 60,1,non-work,Not Sure,non-work
5336,30330487,50 - 60,3,1,<=5 miles,20 - 30
5337,30330556,>60,4,non-work,Not Sure,non-work
5338,30330567,>60,1,non-work,Not Sure,non-work
5339,30330636,<=30,4,non-work,Not Sure,non-work
5340,30330648,<=30,4,<0.5,>15 miles,>30
5341,30330746,>60,3,0,<=5 miles,10 - 20
5342,30330869,<=30,5,0.5,>15 miles,20 - 30
5343,30330934,>60,5,0,Not Sure,non-work
5344,30330941,>60,3,non-work,Not Sure,non-work
5345,30330996,40 - 50,5,<0.5,5-10 miles,>30
5346,30331063,>60,5,non-work,Not Sure,non-work
5347,30331072,>60,4,non-work,Not Sure,non-work
5348,30331150,>60,4,0.5,5-10 miles,<=10
5349,30331254,30 - 40,4,0.5,5-10 miles,<=10
5350,30331312,>60,3,non-work,Not Sure,non-work
5351,30331335,>60,5,0,<=5 miles,10 - 20
5352,30331378,>60,5,non-work,Not Sure,non-work
5353,30331384,>60,4,non-work,Not Sure,non-work
5354,30331439,>60,3,1,<=5 miles,<=10
5355,30331452,>60,5,non-work,Not Sure,non-work
5356,30331534,>60,3,non-work,Not Sure,non-work
5357,30331705,50 - 60,4,non-work,Not Sure,non-work
5358,30331884,50 - 60,3,1,5-10 miles,10 - 20
5359,30331902,>60,4,non-work,Not Sure,non-work
5360,30331969,<=30,3,<0.5,5-10 miles,10 - 20
5361,30331981,>60,3,non-work,Not Sure,non-work
5362,30331992,<=30,4,<0.5,Not Sure,non-work
5363,30331993,50 - 60,3,non-work,Not Sure,non-work
5364,30332014,>60,5,0,<=5 miles,<=10
5365,30332015,>60,5,non-work,Not Sure,non-work
5366,30332049,<=30,2,0,5-10 miles,<=10
5367,30332054,50 - 60,3,1,10 - 15 miles,10 - 20
5368,30332073,30 - 40,5,<0.5,10 - 15 miles,>30
5369,30332153,<=30,5,0.5,>15 miles,20 - 30
5370,30332154,30 - 40,5,<0.5,>15 miles,10 - 20
5371,30332256,>60,5,non-work,Not Sure,non-work
5372,30332266,>60,4,>0.5,>15 miles,>30
5373,30332307,30 - 40,3,1,>15 miles,20 - 30
5374,30332322,<=30,4,1,<=5 miles,<=10
5375,30332348,<=30,3,1,>15 miles,>30
5376,30332388,40 - 50,5,1,>15 miles,>30
5377,30332560,>60,2,non-work,Not Sure,non-work
5378,30332693,40 - 50,4,>0.5,5-10 miles,10 - 20
5379,30332768,50 - 60,2,non-work,Not Sure,non-work
5380,30332770,50 - 60,3,0.5,>15 miles,>30
5381,30332923,>60,5,non-work,Not Sure,non-work
5382,30332925,50 - 60,3,non-work,Not Sure,non-work
5383,30332935,40 - 50,5,1,>15 miles,>30
5384,30333019,>60,3,non-work,Not Sure,non-work
5385,30333040,>60,3,non-work,Not Sure,non-work
5386,30333186,>60,2,0.5,<=5 miles,10 - 20
5387,30333264,30 - 40,5,<0.5,5-10 miles,10 - 20
5388,30333265,40 - 50,5,<0.5,>15 miles,>30
5389,30333354,>60,5,non-work,Not Sure,non-work
5390,30333391,>60,4,1,5-10 miles,20 - 30
5391,30333592,>60,4,non-work,Not Sure,non-work
5392,30333667,40 - 50,3,non-work,Not Sure,non-work
5393,30333861,<=30,5,<0.5,>15 miles,>30
5394,30333935,40 - 50,5,1,>15 miles,20 - 30
5395,30333949,40 - 50,2,non-work,Not Sure,non-work
5396,30333974,50 - 60,4,0.5,<=5 miles,<=10
5397,30333987,>60,2,0.5,<=5 miles,>30
5398,30333990,>60,3,non-work,Not Sure,non-work
5399,30334119,>60,2,non-work,Not Sure,non-work
5400,30334268,30 - 40,5,<0.5,>15 miles,20 - 30
5401,30334273,40 - 50,3,1,>15 miles,20 - 30
5402,30334303,>60,5,non-work,Not Sure,non-work
5403,30334411,30 - 40,4,<0.5,10 - 15 miles,20 - 30
5404,30334434,>60,5,non-work,Not Sure,non-work
5405,30334451,>60,4,non-work,Not Sure,non-work
5406,30334469,>60,2,non-work,Not Sure,non-work
5407,30334475,<=30,2,0,>15 miles,>30
5408,30334482,50 - 60,2,1,<=5 miles,10 - 20
5409,30334605,>60,4,non-work,Not Sure,non-work
5410,30334776,30 - 40,5,<0.5,>15 miles,>30
5411,30334880,>60,5,non-work,Not Sure,non-work
5412,30335041,40 - 50,5,>0.5,5-10 miles,10 - 20
5413,30335088,50 - 60,3,0.5,5-10 miles,<=10
5414,30335189,>60,5,non-work,Not Sure,non-work
5415,30335193,>60,1,non-work,Not Sure,non-work
5416,30335237,>60,3,non-work,Not Sure,non-work
5417,30335263,>60,4,non-work,Not Sure,non-work
5418,30335296,>60,4,1,5-10 miles,10 - 20
5419,30335355,<=30,3,<0.5,<=5 miles,10 - 20
5420,30335388,50 - 60,2,1,5-10 miles,10 - 20
5421,30335435,40 - 50,5,1,>15 miles,20 - 30
5422,30335537,30 - 40,5,1,<=5 miles,<=10
5423,30335573,>60,5,0.5,>15 miles,10 - 20
5424,30335581,50 - 60,4,1,5-10 miles,10 - 20
5425,30335679,>60,4,0,<=5 miles,10 - 20
5426,30335762,30 - 40,4,0.5,>15 miles,20 - 30
5427,30335827,<=30,5,1,<=5 miles,10 - 20
5428,30335871,30 - 40,5,1,<=5 miles,<=10
5429,30335876,>60,2,non-work,Not Sure,non-work
5430,30335889,<=30,5,1,<=5 miles,10 - 20
5431,30335988,>60,3,non-work,Not Sure,non-work
5432,30336032,30 - 40,5,0.5,5-10 miles,10 - 20
5433,30336033,50 - 60,5,non-work,Not Sure,non-work
5434,30336099,<=30,2,<0.5,10 - 15 miles,>30
5435,30336234,50 - 60,4,non-work,Not Sure,non-work
5436,30336433,>60,5,0.5,5-10 miles,>30
5437,30336517,>60,3,non-work,Not Sure,non-work
5438,30336532,>60,4,0.5,10 - 15 miles,>30
5439,30336560,<=30,4,<0.5,>15 miles,20 - 30
5440,30336566,>60,5,non-work,Not Sure,non-work
5441,30336567,>60,5,non-work,Not Sure,non-work
5442,30336702,40 - 50,5,non-work,Not Sure,non-work
5443,30336708,40 - 50,4,1,10 - 15 miles,<=10
5444,30336746,<=30,4,<0.5,>15 miles,>30
5445,30336767,<=30,4,0.5,Not Sure,non-work
5446,30336827,50 - 60,4,0,Not Sure,non-work
5447,30337072,<=30,3,0,<=5 miles,<=10
5448,30337156,>60,3,0,<=5 miles,<=10
5449,30337210,>60,2,non-work,Not Sure,non-work
5450,30337232,40 - 50,5,>0.5,>15 miles,>30
5451,30337283,<=30,3,1,10 - 15 miles,10 - 20
5452,30337287,>60,5,non-work,Not Sure,non-work
5453,30337304,>60,3,non-work,Not Sure,non-work
5454,30337397,>60,5,0,<=5 miles,10 - 20
5455,30337400,>60,2,non-work,Not Sure,non-work
5456,30337409,>60,3,non-work,Not Sure,non-work
5457,30337419,>60,2,non-work,Not Sure,non-work
5458,30337569,<=30,2,<0.5,>15 miles,>30
5459,30337578,>60,4,1,<=5 miles,<=10
5460,30337599,30 - 40,4,1,<=5 miles,<=10
5461,30337681,>60,3,non-work,Not Sure,non-work
5462,30337703,40 - 50,2,non-work,Not Sure,non-work
5463,30337731,40 - 50,3,non-work,Not Sure,non-work
5464,30337911,<=30,4,non-work,Not Sure,non-work
5465,30338006,>60,2,1,>15 miles,>30
5466,30338018,50 - 60,3,1,>15 miles,20 - 30
5467,30338125,>60,5,non-work,Not Sure,non-work
5468,30338319,30 - 40,3,1,5-10 miles,10 - 20
5469,30338331,<=30,4,0.5,5-10 miles,10 - 20
5470,30338377,50 - 60,2,non-work,Not Sure,non-work
5471,30338407,50 - 60,4,0.5,10 - 15 miles,10 - 20
5472,30338462,40 - 50,4,1,<=5 miles,10 - 20
5473,30338467,>60,3,non-work,Not Sure,non-work
5474,30338536,>60,4,non-work,Not Sure,non-work
5475,30338568,>60,3,0.5,>15 miles,>30
5476,30338626,50 - 60,5,1,5-10 miles,10 - 20
5477,30338656,<=30,3,0.5,5-10 miles,>30
5478,30338658,>60,1,non-work,Not Sure,non-work
5479,30338665,>60,5,0,>15 miles,>30
5480,30338689,>60,2,non-work,Not Sure,non-work
5481,30338789,>60,3,non-work,Not Sure,non-work
5482,30338801,40 - 50,3,1,5-10 miles,10 - 20
5483,30339015,>60,2,non-work,Not Sure,non-work
5484,30339045,50 - 60,3,0.5,10 - 15 miles,10 - 20
5485,30339046,40 - 50,5,1,>15 miles,>30
5486,30339053,30 - 40,3,0,5-10 miles,<=10
5487,30339083,30 - 40,1,non-work,Not Sure,non-work
5488,30339240,50 - 60,2,1,>15 miles,>30
5489,30339255,<=30,5,<0.5,10 - 15 miles,10 - 20
5490,30339258,>60,2,non-work,Not Sure,non-work
5491,30339278,50 - 60,5,non-work,Not Sure,non-work
5492,30339472,<=30,4,0.5,<=5 miles,10 - 20
5493,30339539,>60,5,<0.5,10 - 15 miles,20 - 30
5494,30339608,30 - 40,3,1,>15 miles,>30
5495,30339656,>60,2,non-work,Not Sure,non-work
5496,30339794,>60,1,non-work,Not Sure,non-work
5497,30339834,>60,3,0.5,5-10 miles,<=10
5498,30339853,>60,5,<0.5,5-10 miles,10 - 20
5499,30339875,50 - 60,3,1,>15 miles,20 - 30
5500,30339996,50 - 60,2,0.5,>15 miles,20 - 30
5501,30340028,30 - 40,4,1,5-10 miles,10 - 20
5502,30340052,>60,5,non-work,Not Sure,non-work
5503,30340063,>60,5,non-work,Not Sure,non-work
5504,30340085,50 - 60,4,1,10 - 15 miles,20 - 30
5505,30340165,40 - 50,5,<0.5,<=5 miles,<=10
5506,30340196,>60,3,0.5,<=5 miles,<=10
5507,30340207,30 - 40,5,<0.5,<=5 miles,10 - 20
5508,30340302,>60,3,non-work,Not Sure,non-work
5509,30340307,>60,2,non-work,Not Sure,non-work
5510,30340334,>60,4,0.5,>15 miles,>30
5511,30340344,<=30,5,0.5,>15 miles,>30
5512,30340371,<=30,3,<0.5,Not Sure,non-work
5513,30340417,>60,5,0.5,Not Sure,non-work
5514,30340662,30 - 40,4,>0.5,<=5 miles,<=10
5515,30340688,>60,2,0,<=5 miles,<=10
5516,30340770,>60,5,non-work,Not Sure,non-work
5517,30340838,>60,2,non-work,Not Sure,non-work
5518,30340895,>60,1,non-work,Not Sure,non-work
5519,30340901,<=30,5,0.5,<=5 miles,10 - 20
5520,30340930,<=30,5,1,>15 miles,20 - 30
5521,30340941,>60,3,non-work,Not Sure,non-work
5522,30340987,>60,3,0,<=5 miles,<=10
5523,30341155,>60,4,non-work,Not Sure,non-work
5524,30341206,<=30,5,1,5-10 miles,10 - 20
5525,30341252,50 - 60,2,1,10 - 15 miles,20 - 30
5526,30341389,>60,3,1,10 - 15 miles,>30
5527,30341422,>60,3,non-work,Not Sure,non-work
5528,30341561,>60,1,non-work,Not Sure,non-work
5529,30341600,<=30,2,non-work,Not Sure,non-work
5530,30341612,50 - 60,2,non-work,Not Sure,non-work
5531,30341814,>60,3,non-work,Not Sure,non-work
5532,30341835,40 - 50,3,0,>15 miles,20 - 30
5533,30341862,>60,2,non-work,Not Sure,non-work
5534,30342021,>60,4,non-work,Not Sure,non-work
5535,30342041,>60,5,<0.5,>15 miles,>30
5536,30342111,>60,5,1,<=5 miles,<=10
5537,30342133,40 - 50,4,<0.5,5-10 miles,10 - 20
5538,30342179,30 - 40,5,1,<=5 miles,<=10
5539,30342181,<=30,5,<0.5,>15 miles,20 - 30
5540,30342204,>60,3,non-work,Not Sure,non-work
5541,30342280,<=30,5,<0.5,10 - 15 miles,10 - 20
5542,30342365,<=30,2,non-work,Not Sure,non-work
5543,30342429,>60,2,non-work,Not Sure,non-work
5544,30342455,>60,5,0.5,Not Sure,non-work
5545,30342508,50 - 60,3,0.5,>15 miles,>30
5546,30342601,50 - 60,3,1,<=5 miles,<=10
5547,30342657,50 - 60,3,non-work,Not Sure,non-work
5548,30342792,<=30,5,<0.5,>15 miles,>30
5549,30342880,>60,5,0.5,>15 miles,>30
5550,30342892,40 - 50,3,1,5-10 miles,10 - 20
5551,30342925,40 - 50,4,1,5-10 miles,10 - 20
5552,30343010,>60,4,0.5,>15 miles,<=10
5553,30343071,>60,5,0.5,10 - 15 miles,20 - 30
5554,30343164,30 - 40,5,<0.5,>15 miles,>30
5555,30343209,<=30,5,<0.5,<=5 miles,20 - 30
5556,30343228,30 - 40,4,0.5,10 - 15 miles,>30
5557,30343232,30 - 40,3,>0.5,>15 miles,20 - 30
5558,30343387,>60,4,0.5,5-10 miles,<=10
5559,30343436,>60,1,non-work,Not Sure,non-work
5560,30343470,30 - 40,4,1,5-10 miles,10 - 20
5561,30343532,>60,4,non-work,Not Sure,non-work
5562,30343611,50 - 60,3,1,>15 miles,20 - 30
5563,30343619,30 - 40,4,<0.5,<=5 miles,<=10
5564,30343629,>60,2,1,5-10 miles,10 - 20
5565,30343676,>60,2,non-work,Not Sure,non-work
5566,30343715,>60,5,0,Not Sure,non-work
5567,30343750,>60,3,non-work,Not Sure,non-work
5568,30343772,>60,3,non-work,Not Sure,non-work
5569,30343781,40 - 50,5,1,<=5 miles,10 - 20
5570,30343829,50 - 60,5,0.5,<=5 miles,>30
5571,30343944,>60,4,0.5,>15 miles,20 - 30
5572,30343953,>60,4,1,>15 miles,>30
5573,30343960,>60,3,non-work,Not Sure,non-work
5574,30343973,>60,5,non-work,Not Sure,non-work
5575,30343974,<=30,5,1,5-10 miles,20 - 30
5576,30344006,>60,5,non-work,Not Sure,non-work
5577,30344022,>60,3,non-work,Not Sure,non-work
5578,30344161,<=30,4,1,>15 miles,>30
5579,30344172,50 - 60,4,non-work,Not Sure,non-work
5580,30344236,<=30,3,<0.5,>15 miles,>30
5581,30344297,>60,5,0.5,5-10 miles,10 - 20
5582,30344305,50 - 60,3,non-work,Not Sure,non-work
5583,30344351,<=30,4,0,<=5 miles,<=10
5584,30344375,>60,3,0.5,>15 miles,20 - 30
5585,30344381,50 - 60,2,non-work,Not Sure,non-work
5586,30344438,<=30,4,<0.5,<=5 miles,10 - 20
5587,30344528,50 - 60,3,non-work,Not Sure,non-work
5588,30344593,>60,5,0,10 - 15 miles,20 - 30
5589,30344678,>60,5,0.5,Not Sure,non-work
5590,30344735,40 - 50,5,1,Not Sure,non-work
5591,30344801,>60,3,non-work,Not Sure,non-work
5592,30344809,<=30,5,1,10 - 15 miles,10 - 20
5593,30344890,50 - 60,5,0,<=5 miles,<=10
5594,30345022,>60,2,1,<=5 miles,10 - 20
5595,30345149,>60,3,non-work,Not Sure,non-work
5596,30345174,>60,3,non-work,Not Sure,non-work
5597,30345187,50 - 60,4,1,>15 miles,20 - 30
5598,30345246,>60,3,non-work,Not Sure,non-work
5599,30345298,>60,5,non-work,Not Sure,non-work
5600,30345333,<=30,2,non-work,Not Sure,non-work
5601,30345435,<=30,4,<0.5,>15 miles,>30
5602,30345460,>60,2,non-work,Not Sure,non-work
5603,30345498,>60,2,non-work,Not Sure,non-work
5604,30345609,>60,2,non-work,Not Sure,non-work
5605,30345655,30 - 40,3,<0.5,<=5 miles,>30
5606,30345792,<=30,5,0.5,>15 miles,>30
5607,30345981,<=30,3,non-work,Not Sure,non-work
5608,30346050,<=30,3,1,<=5 miles,<=10
5609,30346055,30 - 40,5,0,>15 miles,>30
5610,30346068,50 - 60,2,0,<=5 miles,<=10
5611,30346179,40 - 50,4,1,>15 miles,>30
5612,30346224,<=30,3,<0.5,<=5 miles,<=10
5613,30346262,>60,5,1,<=5 miles,<=10
5614,30346279,>60,2,non-work,Not Sure,non-work
5615,30346306,50 - 60,3,1,<=5 miles,<=10
5616,30346317,>60,5,non-work,Not Sure,non-work
5617,30346333,30 - 40,5,0.5,10 - 15 miles,10 - 20
5618,30346344,50 - 60,5,1,5-10 miles,<=10
5619,30346362,>60,2,non-work,Not Sure,non-work
5620,30346377,>60,4,1,<=5 miles,<=10
5621,30346407,>60,2,non-work,Not Sure,non-work
5622,30346626,>60,5,non-work,Not Sure,non-work
5623,30346634,>60,3,1,<=5 miles,<=10
5624,30346666,<=30,3,0,<=5 miles,<=10
5625,30346685,>60,4,0.5,5-10 miles,10 - 20
5626,30346742,>60,3,<0.5,10 - 15 miles,10 - 20
5627,30346788,>60,2,non-work,Not Sure,non-work
5628,30346811,>60,3,non-work,Not Sure,non-work
5629,30346880,50 - 60,5,<0.5,>15 miles,>30
