,HOUSEID,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
73,30005158,40 - 50,4,1,<=5 miles,10 - 20
74,30005199,<=30,3,<0.5,<=5 miles,<=10
75,30005202,>60,4,0,<=5 miles,<=10
76,30005268,>60,4,non-work,Not Sure,non-work
77,30005283,>60,1,non-work,Not Sure,non-work
78,30005315,>60,3,non-work,Not Sure,non-work
79,30005372,40 - 50,4,0,Not Sure,non-work
80,30005383,>60,5,non-work,Not Sure,non-work
81,30005445,>60,3,non-work,Not Sure,non-work
82,30005565,<=30,2,1,<=5 miles,<=10
83,30005713,>60,2,non-work,Not Sure,non-work
84,30005945,40 - 50,4,1,>15 miles,>30
85,30005964,50 - 60,3,non-work,Not Sure,non-work
86,30005995,30 - 40,3,0,Not Sure,non-work
87,30006078,>60,5,non-work,Not Sure,non-work
88,30006185,>60,4,non-work,Not Sure,non-work
89,30006198,<=30,2,<0.5,<=5 miles,<=10
90,30006273,40 - 50,4,0.5,10 - 15 miles,>30
91,30006274,>60,5,non-work,Not Sure,non-work
92,30006388,<=30,2,non-work,Not Sure,non-work
93,30006397,50 - 60,4,0.5,<=5 miles,<=10
94,30006683,>60,5,non-work,Not Sure,non-work
95,30006697,>60,3,non-work,Not Sure,non-work
96,30006777,>60,3,0,5-10 miles,>30
97,30006851,>60,3,0,<=5 miles,10 - 20
98,30006890,<=30,2,1,5-10 miles,10 - 20
99,30006957,50 - 60,4,1,>15 miles,>30
100,30007091,>60,2,non-work,Not Sure,non-work
101,30007173,>60,5,non-work,Not Sure,non-work
102,30007193,30 - 40,5,1,>15 miles,20 - 30
103,30007260,50 - 60,4,0.5,10 - 15 miles,20 - 30
104,30007345,<=30,5,1,5-10 miles,10 - 20
105,30007347,50 - 60,3,1,5-10 miles,10 - 20
106,30007398,>60,2,non-work,Not Sure,non-work
107,30007462,50 - 60,5,0.5,<=5 miles,<=10
108,30007520,30 - 40,5,non-work,Not Sure,non-work
109,30007528,>60,5,non-work,Not Sure,non-work
110,30007531,50 - 60,4,0.5,<=5 miles,<=10
111,30007556,30 - 40,4,<0.5,>15 miles,20 - 30
112,30007603,30 - 40,4,1,10 - 15 miles,10 - 20
113,30007614,50 - 60,5,1,10 - 15 miles,20 - 30
114,30007623,>60,4,0,<=5 miles,<=10
115,30007674,50 - 60,2,1,<=5 miles,<=10
116,30007748,30 - 40,4,1,10 - 15 miles,20 - 30
117,30007757,50 - 60,5,<0.5,Not Sure,non-work
118,30007907,40 - 50,3,non-work,Not Sure,non-work
119,30007978,>60,3,0.5,<=5 miles,<=10
120,30008157,40 - 50,5,<0.5,>15 miles,>30
121,30008187,<=30,3,1,5-10 miles,10 - 20
122,30008251,>60,4,non-work,Not Sure,non-work
123,30008258,>60,3,non-work,Not Sure,non-work
124,30008324,30 - 40,5,>0.5,<=5 miles,<=10
125,30008397,50 - 60,2,1,Not Sure,non-work
126,30008472,50 - 60,5,non-work,Not Sure,non-work
127,30008483,30 - 40,5,0,5-10 miles,10 - 20
128,30008546,40 - 50,5,1,<=5 miles,<=10
129,30008574,>60,5,non-work,Not Sure,non-work
130,30009004,50 - 60,5,1,>15 miles,20 - 30
