,Unnamed: 0,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME
7899,59896,30486596,HOME_RENT,6.0,3.0,Rarely,5,5,5,4.0,5.0,2.0,2.0,5.0,2,8,1.0,0.0,1.0,1,2,1,3,22,Daily,1.0,1,1,0,1,1,30 - 40,5,1,5-10 miles,10 - 20
7900,59899,30486601,HOME_OWN,6.0,1.0,Rarely,5,4,4,2.0,3.0,2.0,3.0,4.0,1,22,1.0,0.0,0.6666666666666666,10,1,1,5,21,Daily,1.0,>0.5,1,0,>2,1,40 - 50,5,<0.5,10 - 15 miles,20 - 30
7901,59900,30486602,HOME_OWN,6.0,3.0,Never,5,5,1,3.0,3.0,3.0,3.0,3.0,1,15,0.4,0.4,0.4,4,1,1,2,21,Daily,0.4,<0.5,<0.5,<0.5,>2,1,<=30,5,<0.5,>15 miles,>30
7902,59901,30486614,HOME_OWN,6.0,5.0,Never,5,5,5,2.0,3.0,4.0,4.0,4.0,2,5,1.0,0.0,1.0,1,2,1,1,23,Daily,1.0,1,1,0,1,1,50 - 60,3,1,>15 miles,10 - 20
7903,59909,30486650,HOME_OWN,4.0,3.0,Rarely,4,4,3,1.0,1.0,2.0,3.0,2.0,2,2,1.0,0.0,1.0,9,2,1,2,23,Daily,1.0,1,1,0,1,1,>60,2,0,<=5 miles,10 - 20
7904,59912,30486693,HOME_OWN,8.0,2.0,Rarely,5,5,4,3.0,4.0,4.0,4.0,4.0,1,23,0.5,0.0,0.25,6,2,4,6,23,Daily,0.5,<0.5,>0.5,0,>2,1,<=30,5,<0.5,10 - 15 miles,10 - 20
7905,59916,30486739,HOME_OWN,7.0,2.0,,4,4,4,4.0,5.0,3.0,5.0,4.0,1,8,1.0,0.0,0.0,10,1,1,5,21,Daily,0.5,0,1,0,2,1,>60,3,non-work,Not Sure,non-work
7906,59923,30486789,HOME_OWN,2.0,,,3,-9,-9,,2.0,,,,2,3,1.0,0.0,0.0,9,2,1,1,23,Never,0.0,0,1,0,1,0,>60,2,non-work,Not Sure,non-work
7907,59925,30486802,HOME_OWN,6.0,3.0,Never,4,5,5,1.0,2.0,2.0,2.0,2.0,2,4,1.0,0.0,0.0,9,2,1,1,23,Daily,1.0,0,1,0,1,1,>60,5,non-work,Not Sure,non-work
7908,59927,30486815,HOME_OWN,,2.0,Never,5,5,5,1.0,1.0,2.0,4.0,4.0,1,5,1.0,0.0,0.0,8,2,2,6,24,Daily,0.6666666666666666,0,1,0,>2,1,40 - 50,3,non-work,Not Sure,non-work
