,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN
34423,30279146,5,HOME_OWN,5,5,Never,5,5,4,3,3,4,4,4,1,2,6,1.0,0.0,0.5,10,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1
34434,30279246,4,HOME_RENT,6,4,Never,5,5,5,3,3,3,3,3,1,2,11,0.5,0.0,0.5,6,2,1,1,23,Daily,2,0.5,>0.5,>0.5,0,>2,1
34436,30279252,1,HOME_OWN,11,2,Never,4,5,4,5,4,4,5,5,1,2,6,1.0,0.0,0.5,10,2,1,3,23,Daily,2,1.0,>0.5,1,0,2,1
34447,30279319,5,HOME_RENT,5,4,Never,5,5,5,4,3,4,4,4,2,1,4,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1
34457,30279409,2,HOME_OWN,6,2,Never,5,5,5,1,1,2,4,4,1,2,8,1.0,0.0,0.0,10,1,1,2,21,Daily,2,1.0,0,1,0,2,1
34462,30279421,1,HOME_OWN,4,2,Never,5,5,5,5,5,2,5,5,1,0,3,1.0,0.0,0.0,10,1,1,5,21,Daily,1,0.0,0,1,0,2,0
34474,30279490,5,HOME_OWN,5,3,Never,5,4,4,2,2,2,4,2,2,1,5,1.0,0.0,0.0,9,1,1,5,21,Daily,2,1.0,0,1,0,1,1
34481,30279581,3,HOME_OWN,5,4,Never,5,5,5,5,5,5,5,5,1,2,8,1.0,0.0,0.0,10,2,2,6,24,Daily,2,1.0,0,1,0,2,1
34490,30279627,4,HOME_OWN,10,3,Never,4,5,5,3,4,4,4,4,1,2,7,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1
34493,30279652,3,HOME_OWN,9,5,Rarely,4,5,4,4,2,4,5,4,2,1,5,1.0,0.0,1.0,1,1,4,6,21,Daily,2,1.0,1,1,0,1,1
34496,30279676,5,HOME_OWN,10,NA,NA,-9,-9,-9,3,1,4,5,5,1,>2,7,1.0,0.0,1.0,8,1,1,2,21,Rarely,2,1.0,1,1,0,>2,1
34504,30279722,3,HOME_OWN,10,4,Never,5,5,5,3,3,4,4,4,1,2,5,1.0,0.0,1.0,2,1,4,6,21,Rarely,2,1.0,1,1,0,2,1
34506,30279751,1,NA,2,1,Never,5,4,5,1,2,2,4,3,1,2,18,1.0,0.0,0.5,2,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,1
34513,30279841,2,HOME_OWN,4,5,Never,5,5,5,1,2,3,5,5,1,2,20,0.5,0.0,0.5,6,1,1,5,21,Daily,2,0.5,>0.5,>0.5,0,>2,1
34515,30279861,1,HOME_OWN,4,5,Never,5,5,5,4,3,5,5,5,1,2,0,1.0,0.0,0.0,10,2,1,3,22,Daily,2,1.0,0,1,0,2,1
34520,30279900,4,HOME_RENT,6,1,Never,3,1,1,3,4,5,5,2,1,1,9,1.0,0.0,1.0,2,1,1,5,21,Daily,1,0.5,1,1,0,2,0
34523,30279927,6,HOME_RENT,6,5,Never,4,5,5,1,3,5,5,5,1,1,6,0.5,0.0,0.5,5,2,1,1,23,Daily,2,0.5,>0.5,>0.5,0,2,1
34530,30279983,6,HOME_OWN,7,5,Never,5,5,5,4,3,5,5,5,1,2,0,1.0,0.0,0.0,10,1,1,5,21,Daily,2,1.0,0,1,0,2,1
34545,30280103,2,HOME_OWN,7,2,Never,5,5,4,2,2,5,5,2,1,2,11,1.0,0.0,0.5,10,1,1,2,21,Daily,2,1.0,>0.5,1,0,2,1
34547,30280113,7,HOME_RENT,1,5,Rarely,5,5,5,1,3,5,5,5,1,2,5,1.0,0.0,0.5,2,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1
34550,30280150,4,HOME_OWN,2,5,Never,5,5,5,3,3,5,5,5,1,2,10,1.0,0.0,1.0,2,2,4,6,23,Daily,1,1.0,1,1,0,2,1
34574,30280349,3,HOME_OWN,NA,5,Never,5,5,5,2,2,3,3,3,2,1,0,1.0,0.0,0.0,9,2,1,2,23,Never,2,1.0,0,1,0,1,1
34594,30280507,5,HOME_OWN,2,4,Never,5,5,5,2,1,3,5,5,1,2,8,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1
34610,30280606,1,HOME_OWN,NA,4,Never,5,5,5,2,3,4,5,5,1,2,3,1.0,0.0,1.0,2,2,1,2,23,Daily,2,1.0,1,1,0,2,1
34617,30280673,5,HOME_OWN,4,4,Rarely,5,5,5,1,2,4,5,5,1,2,14,0.6666666666666666,0.0,0.3333333333333333,6,2,4,6,24,Daily,2,0.6666666666666666,<0.5,>0.5,0,>2,1
34618,30280682,2,HOME_RENT,2,4,Never,4,4,4,2,3,5,5,3,2,1,0,1.0,0.0,0.0,1,2,1,1,23,Rarely,2,1.0,0,1,0,1,1
34623,30280723,1,HOME_OWN,9,4,Rarely,5,5,5,4,4,5,5,5,1,2,4,1.0,0.0,0.0,10,2,4,6,23,Daily,2,1.0,0,1,0,2,1
34624,30280724,6,HOME_OWN,7,2,Rarely,5,5,5,2,2,4,4,4,1,2,10,1.0,0.0,0.0,10,2,1,1,23,Daily,2,1.0,0,1,0,2,1
34637,30280820,6,HOME_OWN,6,1,Rarely,4,4,4,1,2,1,3,3,1,>2,15,1.0,0.0,0.6666666666666666,8,2,1,2,23,Daily,2,1.0,>0.5,1,0,>2,1
34650,30280887,3,HOME_OWN,8,5,Never,5,5,5,4,4,5,5,5,1,2,6,1.0,0.0,0.0,10,2,1,2,23,Daily,2,1.0,0,1,0,2,1
34651,30280910,6,HOME_OWN,11,1,Never,2,4,3,5,3,5,5,1,1,2,14,1.0,0.0,0.5,2,1,1,5,21,Daily,2,1.0,>0.5,1,0,2,1
34664,30281030,3,HOME_OWN,8,5,Never,5,5,5,4,4,4,4,4,1,2,7,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,2,4,6,24,Daily,2,0.6666666666666666,>0.5,>0.5,<0.5,>2,1
