,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN
34168,30277013,2,HOME_OWN,6,3,Never,5,5,5,4,4,4,4,4,1,2,9,0.6666666666666666,0.0,0.3333333333333333,6,2,1,2,23,Daily,2,0.6666666666666666,<0.5,>0.5,0,>2,1
34171,30277044,4,HOME_OWN,5,2,Rarely,5,5,5,2,3,3,3,4,1,2,7,1.0,0.0,0.0,10,2,4,6,23,Daily,2,1.0,0,1,0,2,1
34176,30277086,5,HOME_OWN,8,1,Rarely,2,4,2,5,4,2,4,2,2,1,5,1.0,0.0,1.0,1,1,4,6,21,Daily,2,1.0,1,1,0,1,1
34177,30277096,1,HOME_OWN,8,2,Rarely,5,5,2,4,3,4,4,4,1,2,4,1.0,0.0,0.5,2,1,4,6,21,Daily,2,1.0,>0.5,1,0,2,1
34182,30277159,1,HOME_RENT,4,2,Never,5,5,5,3,3,4,4,5,1,2,2,1.0,0.0,0.5,2,2,2,6,24,Daily,2,1.0,>0.5,1,0,2,1
34193,30277208,5,HOME_RENT,6,2,Never,4,2,2,3,3,4,NA,2,2,0,0,1.0,0.0,0.0,9,1,1,5,21,Daily,2,0.0,0,1,0,1,0
34194,30277209,5,HOME_OWN,5,5,Never,5,5,5,1,NA,5,5,5,1,2,2,1.0,0.0,0.0,10,2,4,6,23,Daily,2,0.6666666666666666,0,1,0,>2,1
34208,30277327,6,HOME_OWN,10,1,Never,5,5,5,1,1,4,4,4,1,2,10,1.0,0.0,0.0,10,2,1,3,22,Daily,2,1.0,0,1,0,2,1
34213,30277368,3,HOME_OWN,4,3,Rarely,5,5,5,1,2,4,4,5,1,2,2,1.0,0.0,0.5,10,2,2,6,24,Daily,2,1.0,>0.5,1,0,2,1
34225,30277456,6,HOME_OWN,6,4,Never,5,5,5,5,5,5,5,5,1,>2,5,1.0,0.0,0.6666666666666666,8,2,1,1,23,Daily,2,1.0,>0.5,1,0,>2,1
34228,30277474,2,HOME_OWN,5,4,Never,5,5,5,1,2,4,4,4,1,1,11,0.6666666666666666,0.0,0.0,6,2,1,1,23,Daily,2,0.3333333333333333,0,>0.5,0,>2,1
34229,30277477,3,HOME_OWN,4,5,Never,5,5,5,1,1,5,5,5,2,1,3,1.0,0.0,1.0,1,2,4,6,23,Daily,2,1.0,1,1,0,1,1
34231,30277496,6,HOME_OWN,4,4,Rarely,5,4,4,2,2,3,3,3,1,2,4,1.0,0.0,0.5,2,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,1
34237,30277546,6,HOME_OWN,6,1,Never,5,5,4,1,2,4,4,4,1,>2,10,1.0,0.0,0.3333333333333333,10,1,4,6,21,Daily,1,1.0,<0.5,1,0,>2,1
34244,30277589,2,HOME_RENT,1,5,NA,-9,-9,5,2,2,5,NA,2,2,0,6,1.0,0.0,0.0,1,2,1,3,22,Never,1,0.0,0,1,0,1,0
34256,30277748,5,HOME_OWN,7,5,Never,5,5,5,1,1,5,5,5,1,2,16,1.0,0.0,0.0,10,1,1,5,21,Daily,2,1.0,0,1,0,2,1
34262,30277798,4,HOME_OWN,NA,4,Never,5,5,5,5,2,5,5,5,1,2,10,1.0,0.0,0.0,10,2,4,6,24,Daily,2,1.0,0,1,0,2,1
34267,30277826,3,HOME_OWN,5,5,Never,5,5,5,1,1,5,5,5,1,1,0,1.0,0.0,0.0,10,2,2,6,23,Daily,2,0.3333333333333333,0,1,0,>2,1
34283,30277971,7,HOME_OWN,3,5,Never,5,5,5,3,2,5,5,5,2,1,4,1.0,0.0,0.0,9,2,1,3,22,Rarely,2,1.0,0,1,0,1,1
34291,30278027,5,HOME_OWN,2,2,Never,4,5,5,4,4,5,5,5,2,1,5,1.0,0.0,0.0,9,2,1,1,23,Never,2,1.0,0,1,0,1,1
34293,30278045,1,HOME_RENT,3,1,NA,4,3,1,2,2,2,4,1,2,1,4,1.0,0.0,1.0,1,1,1,5,21,Daily,2,1.0,1,1,0,1,0
34296,30278064,6,HOME_OWN,5,4,Never,5,5,5,1,2,3,5,5,1,2,5,0.6666666666666666,0.0,0.0,6,2,4,6,22,Daily,2,0.6666666666666666,0,>0.5,0,>2,1
34304,30278149,2,HOME_OWN,2,2,Never,5,5,5,2,3,4,4,4,2,1,7,1.0,0.0,1.0,1,2,1,3,22,Daily,1,1.0,1,1,0,1,1
34312,30278261,7,HOME_OWN,6,2,Never,5,5,5,4,4,4,4,4,1,2,8,1.0,0.0,0.5,10,2,1,1,23,Daily,2,1.0,>0.5,1,0,2,1
34338,30278467,2,HOME_OWN,6,5,Never,5,5,5,2,2,5,5,5,1,2,12,1.0,0.0,1.0,2,2,4,6,23,Daily,1,1.0,1,1,0,2,1
34339,30278471,5,HOME_OWN,7,5,Never,5,5,5,3,3,5,5,5,1,2,5,1.0,0.0,1.0,2,2,4,6,22,Daily,2,1.0,1,1,0,2,1
34345,30278509,5,HOME_OWN,6,5,Never,5,5,5,4,5,5,5,4,2,1,9,1.0,0.0,0.0,9,2,1,3,22,Never,1,1.0,0,1,0,1,1
34358,30278661,6,HOME_OWN,7,4,Never,5,5,4,2,3,4,5,5,1,2,9,1.0,0.0,0.3333333333333333,10,1,4,6,21,Daily,1,0.6666666666666666,<0.5,1,0,>2,1
34376,30278789,4,HOME_RENT,2,1,Rarely,3,1,5,1,1,2,3,3,2,0,2,1.0,0.0,0.0,1,1,1,2,21,Daily,2,0.0,0,1,0,1,0
34378,30278797,7,HOME_OWN,3,2,NA,-9,-9,-9,1,1,1,NA,NA,2,1,1,1.0,0.0,0.0,9,1,1,5,21,Never,1,1.0,0,1,0,1,1
34379,30278811,3,HOME_OWN,8,1,Rarely,5,5,5,2,3,2,4,5,1,2,9,1.0,0.0,0.0,10,2,2,6,24,Daily,2,1.0,0,1,0,2,1
34385,30278854,7,HOME_OWN,11,5,Never,4,5,5,5,4,5,5,5,1,2,20,1.0,0.0,1.0,2,1,4,6,21,Daily,2,1.0,1,1,0,2,1
34391,30278892,2,HOME_OWN,4,2,Rarely,4,5,5,1,2,2,2,2,2,1,9,1.0,0.0,0.0,1,2,2,6,24,Daily,2,1.0,0,1,0,1,1
34392,30278894,4,HOME_OWN,7,2,Rarely,5,5,5,1,2,2,2,5,1,2,22,0.4,0.0,0.4,6,2,1,3,22,Daily,2,0.4,<0.5,<0.5,0,>2,1
34399,30278932,5,HOME_OWN,5,3,NA,-9,-9,-9,4,2,4,4,4,2,1,8,1.0,0.0,0.0,9,2,4,6,24,Daily,2,1.0,0,1,0,1,1
34401,30278934,3,HOME_RENT,7,5,NA,5,4,4,3,2,5,5,5,1,>2,20,1.0,0.0,1.0,8,1,1,5,21,Daily,2,1.0,1,1,0,>2,1
34407,30278996,4,HOME_OWN,6,2,Never,4,5,5,3,3,3,4,4,1,2,2,1.0,0.0,0.3333333333333333,10,2,4,6,23,Daily,2,0.6666666666666666,<0.5,1,0,>2,1
