,HOUSEID,HHFAMINC,WALK,TAXI,BUS,TRAIN,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,WRKCOUNT,LIF_CYC,URBAN,URBANSIZE,DRVRCNTPROP,HIGH_EDUC,HOMEOWN,WRKCOUNT_ratio,HHSIZE_cleaned,FT_ratio,AVG_WORK_DIST,one_job,flexible_work,HIGH_EDUC,URBANSIZE,URBAN,LIF_CYC,HHRELATD,PTRANS,BIKE2SAVE,WALK2SAVE,TRAIN,BUS,TAXI,WALK,HOMEOWN_HOME_OWN,HOMEOWN_HOME_RENT,WRKCOUNT_ratio_0,WRKCOUNT_ratio_1,WRKCOUNT_ratio_<0.5,WRKCOUNT_ratio_>0.5,HHSIZE_cleaned_1,HHSIZE_cleaned_2,HHSIZE_cleaned_>2,FT_ratio_0,FT_ratio_0.5,FT_ratio_1,FT_ratio_<0.5,FT_ratio_>0.5,FT_ratio_non-work,AVG_WORK_DIST_10 - 15 miles,AVG_WORK_DIST_5-10 miles,AVG_WORK_DIST_<=5 miles,AVG_WORK_DIST_>15 miles,AVG_WORK_DIST_Not Sure,one_job_0,one_job_0.5,one_job_1,one_job_<0.5,one_job_>0.5,one_job_non-work,flexible_work_0,flexible_work_0.5,flexible_work_1,flexible_work_<0.5,flexible_work_non-work
33,30002022,1.0,1.0,5,5,4,2.0,5.0,5.0,2,0.0,9,1,1,1.0,3.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,3.0,1,1,9,2,5.0,5.0,2.0,4,5,5,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
34,30002274,4.0,1.0,5,5,5,4.0,5.0,3.0,2,0.0,9,4,6,1.0,4.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,4.0,6,4,9,2,3.0,5.0,4.0,5,5,5,1.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
35,30002835,11.0,3.0,5,5,5,4.0,4.0,4.0,1,1.0,2,1,5,1.0,4.0,HOME_OWN,1,2,1,>15 miles,1,0.5,4.0,5,1,2,1,4.0,4.0,4.0,5,5,5,3.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
36,30002883,8.0,1.0,5,4,4,4.0,5.0,4.0,1,1.0,10,1,1,1.0,5.0,HOME_OWN,1,>2,>0.5,<=5 miles,1,<0.5,5.0,1,1,10,1,4.0,5.0,4.0,4,4,5,1.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
37,30002989,8.0,5.0,5,5,5,5.0,5.0,5.0,1,0.5,10,4,6,1.0,4.0,HOME_OWN,>0.5,2,0,<=5 miles,0.5,0.5,4.0,6,4,10,1,5.0,5.0,5.0,5,5,5,5.0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
38,30003127,9.0,5.0,4,-9,-9,4.0,4.0,4.0,2,0.0,9,1,5,1.0,5.0,HOME_OWN,0,1,non-work,Not Sure,non-work,non-work,5.0,5,1,9,2,4.0,4.0,4.0,-9,-9,4,5.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
39,30003158,6.0,5.0,5,5,5,5.0,5.0,5.0,1,1.0,2,4,6,1.0,2.0,HOME_OWN,1,2,1,10 - 15 miles,0.5,0.5,2.0,6,4,2,1,5.0,5.0,5.0,5,5,5,5.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
40,30003171,,1.0,5,5,5,2.0,2.0,3.0,1,1.0,2,2,6,1.0,5.0,HOME_OWN,1,2,1,<=5 miles,1,0.5,5.0,6,2,2,1,3.0,2.0,2.0,5,5,5,1.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
41,30003209,4.0,2.0,5,4,2,2.0,2.0,4.0,1,1.0,2,1,5,1.0,5.0,HOME_OWN,1,2,1,10 - 15 miles,0.5,0.5,5.0,5,1,2,1,4.0,2.0,2.0,2,4,5,2.0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
42,30003393,3.0,1.0,3,2,5,3.0,3.0,3.0,1,0.6666666666666666,2,1,1,0.0,3.0,HOME_RENT,>0.5,>2,<0.5,<=5 miles,>0.5,<0.5,3.0,1,1,2,1,3.0,3.0,3.0,5,2,3,1.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
43,30003425,7.0,1.0,5,5,5,1.0,3.0,5.0,2,0.0,10,2,6,1.0,5.0,HOME_OWN,0,2,non-work,Not Sure,non-work,non-work,5.0,6,2,10,2,5.0,3.0,1.0,5,5,5,1.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
44,30003445,11.0,1.0,3,4,4,5.0,5.0,5.0,2,1.0,1,1,2,1.0,5.0,HOME_OWN,1,1,1,10 - 15 miles,1,0,5.0,2,1,1,2,5.0,5.0,5.0,4,4,3,1.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
45,30003489,5.0,4.0,5,5,4,4.0,4.0,4.0,2,1.0,1,4,6,1.0,3.0,HOME_OWN,1,1,1,>15 miles,1,1,3.0,6,4,1,2,4.0,4.0,4.0,4,5,5,4.0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
