,HOUSEID,TRAVDAY,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,DRVRCNT,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,SMPLSRCE,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
5545,30342508,1,HOME_OWN,11,1,Never,5,5,4,5,5,5,5,5,1,2,14,1.0,0.0,0.5,2,1,1,5,21,Daily,2,1.0,>0.5,1,0,2,1,59.5,50 - 60,3.0,0.5,>15 miles,>30,3.0,7.0,>5,0.5,0
5546,30342601,6,HOME_OWN,5,1,Never,5,5,5,4,4,4,5,5,2,1,4,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,55.0,50 - 60,3.0,1,<=5 miles,<=10,4.0,4.0,3 - 4,1,0
5547,30342657,7,HOME_OWN,1,2,Rarely,5,5,4,2,2,3,3,3,2,1,3,1.0,0.0,0.0,1,2,2,6,23,Daily,2,1.0,0,1,0,1,1,55.0,50 - 60,3.0,non-work,Not Sure,non-work,2.0,3.0,2 - 3,non-work,non-work
5548,30342792,1,HOME_OWN,8,1,Never,5,4,1,4,2,4,4,2,1,2,12,0.25,0.25,0.125,4,1,1,5,21,Daily,2,0.25,<0.5,<0.5,<0.5,>2,1,19.33333333333333,<=30,5.0,<0.5,>15 miles,>30,3.0,2.0,<=2,<0.5,0
5549,30342880,2,HOME_OWN,11,2,Never,3,5,1,4,3,5,5,1,1,2,13,1.0,0.0,0.5,10,1,1,5,21,Daily,1,1.0,>0.5,1,0,2,1,69.0,>60,5.0,0.5,>15 miles,>30,3.0,6.5,>5,0.5,0
5550,30342892,2,HOME_OWN,6,2,Rarely,5,4,5,4,3,5,5,5,2,1,11,1.0,0.0,1.0,1,2,4,6,23,Daily,2,1.0,1,1,0,1,1,48.0,40 - 50,3.0,1,5-10 miles,10 - 20,2.0,11.0,>5,1,0
5551,30342925,1,HOME_OWN,10,5,Never,5,5,5,3,3,5,5,5,1,>2,12,1.0,0.0,1.0,2,2,1,2,23,Daily,2,1.0,1,1,0,>2,1,43.5,40 - 50,4.0,1,5-10 miles,10 - 20,2.0,3.0,2 - 3,>0.5,<0.5
5552,30343010,7,HOME_OWN,6,2,Never,5,5,5,2,4,3,3,5,1,2,22,1.0,0.0,0.5,2,2,4,6,24,Daily,2,1.0,>0.5,1,0,2,1,66.5,>60,4.0,0.5,>15 miles,<=10,2.0,11.0,>5,0.5,0.5
5553,30343071,3,HOME_OWN,10,4,Never,4,5,5,4,3,4,4,4,1,2,16,1.0,0.0,0.5,10,1,1,5,21,Daily,2,1.0,>0.5,1,0,2,1,67.0,>60,5.0,0.5,10 - 15 miles,20 - 30,3.0,8.0,>5,0.5,0.5
5554,30343164,4,HOME_OWN,11,4,Rarely,5,5,4,4,2,4,4,4,1,2,9,0.5,0.0,0.25,6,1,1,5,21,Daily,2,0.5,<0.5,>0.5,0,>2,1,32.75,30 - 40,5.0,<0.5,>15 miles,>30,2.0,2.25,2 - 3,<0.5,0
5555,30343209,2,HOME_OWN,8,1,Rarely,5,5,5,4,4,4,4,4,1,2,14,0.5,0.0,0.25,6,2,1,1,23,Daily,2,0.5,<0.5,>0.5,0,>2,1,28.75,<=30,5.0,<0.5,<=5 miles,20 - 30,2.0,3.5,3 - 4,<0.5,0
5556,30343228,2,HOME_OWN,11,5,Never,5,5,5,1,1,5,5,5,1,>2,8,1.0,0.0,0.6666666666666666,2,2,4,6,23,Daily,2,0.8333333333333334,>0.5,1,0,>2,1,34.166666666666664,30 - 40,4.0,0.5,10 - 15 miles,>30,4.0,1.3333333333333333,<=2,0.5,<0.5
5557,30343232,6,HOME_OWN,7,5,Never,5,5,5,1,2,4,4,4,1,>2,14,0.75,0.0,0.75,8,2,4,6,24,Daily,2,1.0,>0.5,>0.5,0,>2,1,32.25,30 - 40,3.0,>0.5,>15 miles,20 - 30,2.0,3.5,3 - 4,>0.5,<0.5
5558,30343387,5,HOME_OWN,7,1,Never,5,5,5,4,4,4,4,4,1,2,15,1.0,0.0,0.5,10,2,4,6,24,Daily,2,1.0,>0.5,1,0,2,1,71.0,>60,4.0,0.5,5-10 miles,<=10,2.0,7.5,>5,0.5,0
5559,30343436,7,HOME_RENT,2,2,Never,5,5,5,5,5,5,5,5,2,1,0,1.0,0.0,0.0,9,2,2,6,22,NA,2,1.0,0,1,0,1,1,83.0,>60,1.0,non-work,Not Sure,non-work,3.0,0.0,<=2,non-work,non-work
5560,30343470,2,HOME_OWN,7,5,Never,5,5,5,3,3,3,3,3,1,2,17,1.0,0.0,1.0,2,2,2,6,22,Daily,2,1.0,1,1,0,2,1,35.5,30 - 40,4.0,1,5-10 miles,10 - 20,1.0,8.5,>5,1,0
5561,30343532,3,HOME_OWN,7,2,Never,5,5,4,2,2,4,5,5,2,1,7,1.0,0.0,0.0,9,1,1,2,21,Daily,2,1.0,0,1,0,1,1,73.0,>60,4.0,non-work,Not Sure,non-work,2.0,7.0,>5,non-work,non-work
5562,30343611,1,HOME_OWN,10,1,Rarely,5,5,5,4,4,4,4,4,1,2,5,1.0,0.0,1.0,2,2,2,6,24,Daily,2,1.0,1,1,0,2,1,53.5,50 - 60,3.0,1,>15 miles,20 - 30,2.0,2.5,2 - 3,1,0.5
5563,30343619,2,HOME_OWN,7,1,Never,5,5,5,3,2,3,3,3,1,2,8,0.5,0.5,0.25,4,1,1,5,21,Daily,2,0.5,<0.5,>0.5,>0.5,>2,1,38.5,30 - 40,4.0,<0.5,<=5 miles,<=10,3.0,4.0,3 - 4,<0.5,0
5564,30343629,4,HOME_OWN,10,2,Never,5,5,5,5,5,5,5,5,2,1,7,1.0,0.0,1.0,1,2,1,3,22,Daily,2,1.0,1,1,0,1,1,64.0,>60,2.0,1,5-10 miles,10 - 20,1.0,7.0,>5,1,0
5565,30343676,7,HOME_RENT,3,3,Never,5,5,5,2,3,4,5,5,2,1,6,1.0,0.0,0.0,9,2,1,3,22,Never,2,1.0,0,1,0,1,1,82.0,>60,2.0,non-work,Not Sure,non-work,3.0,6.0,>5,non-work,non-work
5566,30343715,4,HOME_OWN,6,1,Rarely,4,4,4,2,3,2,3,3,2,1,5,1.0,0.0,1.0,1,2,1,1,23,Daily,2,1.0,1,1,0,1,1,62.0,>60,5.0,0,Not Sure,non-work,1.0,5.0,4 - 5,1,0
5567,30343750,7,HOME_OWN,5,3,Never,5,5,5,2,2,2,5,5,2,1,2,1.0,0.0,0.0,9,2,2,6,24,Daily,2,1.0,0,1,0,1,1,69.0,>60,3.0,non-work,Not Sure,non-work,3.0,2.0,<=2,non-work,non-work
5568,30343772,7,HOME_OWN,3,1,Never,5,5,5,5,5,5,5,5,2,1,0,1.0,0.0,0.0,9,1,1,2,21,Daily,2,1.0,0,1,0,1,1,63.0,>60,3.0,non-work,Not Sure,non-work,2.0,0.0,<=2,non-work,non-work
5569,30343781,7,HOME_RENT,5,1,Never,4,1,5,5,3,1,NA,1,2,0,6,1.0,0.0,1.0,1,2,1,1,23,Daily,2,0.0,1,1,0,1,0,48.0,40 - 50,5.0,1,<=5 miles,10 - 20,1.0,6.0,>5,1,0
5570,30343829,2,HOME_OWN,11,5,Never,5,5,3,5,5,5,5,5,1,1,9,1.0,0.0,1.0,2,1,1,2,21,Daily,2,0.5,1,1,0,2,1,58.5,50 - 60,5.0,0.5,<=5 miles,>30,2.0,4.5,4 - 5,1,0.5
5571,30343944,4,HOME_OWN,9,4,Never,5,5,4,2,4,4,5,5,1,2,6,1.0,0.0,0.5,10,2,4,6,23,Daily,2,1.0,>0.5,1,0,2,1,62.5,>60,4.0,0.5,>15 miles,20 - 30,2.0,3.0,2 - 3,0.5,0
5572,30343953,3,HOME_RENT,5,3,Rarely,5,5,5,2,2,4,4,4,2,1,5,1.0,0.0,1.0,1,2,2,6,22,Rarely,2,1.0,1,1,0,1,1,64.0,>60,4.0,1,>15 miles,>30,2.0,5.0,4 - 5,1,1
5573,30343960,6,HOME_OWN,2,3,NA,5,5,5,2,2,2,5,4,2,1,4,1.0,0.0,0.0,1,2,2,6,24,Never,2,1.0,0,1,0,1,1,74.0,>60,3.0,non-work,Not Sure,non-work,3.0,4.0,3 - 4,non-work,non-work
5574,30343973,7,HOME_OWN,3,1,Never,5,5,5,3,3,4,5,5,2,1,9,1.0,0.0,0.0,9,2,4,6,24,Rarely,2,1.0,0,1,0,1,1,84.0,>60,5.0,non-work,Not Sure,non-work,1.0,9.0,>5,non-work,non-work
5575,30343974,2,HOME_OWN,6,4,Never,5,5,5,4,3,4,5,5,1,2,4,1.0,0.0,1.0,2,2,1,3,23,Daily,2,1.0,1,1,0,2,1,30.0,<=30,5.0,1,5-10 miles,20 - 30,2.0,2.0,<=2,1,0.5
5576,30344006,1,HOME_OWN,11,3,Never,4,3,2,3,3,4,5,3,1,2,3,1.0,0.0,0.0,10,1,1,5,21,Daily,1,1.0,0,1,0,2,1,85.5,>60,5.0,non-work,Not Sure,non-work,5.0,1.5,<=2,non-work,non-work
5577,30344022,5,HOME_RENT,3,2,Never,5,5,5,4,3,3,4,4,2,1,6,1.0,0.0,0.0,9,2,1,2,23,Daily,2,1.0,0,1,0,1,1,86.0,>60,3.0,non-work,Not Sure,non-work,2.0,6.0,>5,non-work,non-work
5578,30344161,6,HOME_OWN,7,1,Rarely,4,5,4,3,3,4,4,2,1,2,5,1.0,0.0,1.0,2,2,1,3,23,Daily,2,1.0,1,1,0,2,1,28.5,<=30,4.0,1,>15 miles,>30,1.0,2.5,2 - 3,0.5,0.5
5579,30344172,4,HOME_RENT,3,4,Never,4,5,5,2,1,3,4,5,1,1,0,1.0,0.0,0.0,2,2,2,6,24,Never,2,0.5,0,1,0,2,1,57.5,50 - 60,4.0,non-work,Not Sure,non-work,4.0,0.0,<=2,non-work,non-work
5580,30344236,7,HOME_OWN,6,4,Never,5,5,5,3,2,2,3,3,1,2,7,0.5,0.25,0.5,4,2,4,6,23,Daily,2,0.5,>0.5,>0.5,<0.5,>2,1,22.33333333333333,<=30,3.0,<0.5,>15 miles,>30,3.0,2.333333333333333,2 - 3,0.5,<0.5
5581,30344297,4,HOME_OWN,11,2,Rarely,4,4,4,3,4,4,4,4,1,2,6,1.0,0.0,1.0,2,1,4,6,21,Daily,2,1.0,1,1,0,2,1,62.5,>60,5.0,0.5,5-10 miles,10 - 20,2.0,3.0,2 - 3,1,0
5582,30344305,1,HOME_RENT,3,4,Never,5,5,5,1,3,4,5,5,2,1,0,1.0,0.0,0.0,9,2,2,6,24,Daily,2,1.0,0,1,0,1,1,59.0,50 - 60,3.0,non-work,Not Sure,non-work,4.0,0.0,<=2,non-work,non-work
