,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
2025,30130686,HOME_OWN,2,5,Never,5,5,5,1,3,5,5,5,1,0,1,0,0,2,2,4,6,23,Daily,0.5,0,1,0,2,1,63,>60,3,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
2026,30130696,HOME_OWN,6,2,Rarely,4,4,4,3,4,5,5,5,1,11,0.333333333,0,0.666666667,5,2,4,6,24,Daily,0.666666667,>0.5,<0.5,0,>2,1,24.33333333,<=30,5,<0.5,>15 miles,>30,1,3.666666667,3-Apr,<0.5,<0.5
2027,30130711,HOME_RENT,7,5,Never,5,5,5,1,2,4,4,4,1,10,1,0,1,2,2,4,6,23,Rarely,1,1,1,0,2,1,47.5,40 - 50,5,1,5-10 miles,<=10,2,5,4-May,0,0.5
2028,30130758,HOME_OWN,11,1,Rarely,3,5,1,4,4,3,3,2,1,8,0.6,0.2,0,4,1,1,5,21,Daily,0.6,0,>0.5,<0.5,>2,1,27,<=30,4,non-work,Not Sure,non-work,1,2,<=2,non-work,non-work
2029,30130775,HOME_OWN,9,4,Rarely,4,5,4,1,2,4,4,4,1,24,0.5,0,0.5,6,1,1,2,21,Daily,0.5,>0.5,>0.5,0,>2,1,29.75,<=30,3,<0.5,>15 miles,20 - 30,2,6,>5,0.5,<0.5
2030,30130807,,5,5,Never,5,5,5,3,5,5,5,5,1,14,0.8,0.2,0.8,4,2,4,6,23,Daily,0.8,>0.5,>0.5,<0.5,>2,1,38.75,30 - 40,4,>0.5,>15 miles,20 - 30,3,3.5,3-Apr,<0.5,<0.5
2031,30130999,HOME_OWN,7,5,Never,5,5,5,5,5,5,5,5,2,7,1,0,1,1,2,1,3,23,Daily,1,1,1,0,1,1,43,40 - 50,3,1,5-10 miles,Oct-20,1,7,>5,1,1
2032,30131282,HOME_OWN,6,,,-9,-9,-9,5,5,5,5,5,1,6,1,0,0,2,2,4,6,23,Daily,1,0,1,0,2,1,69.5,>60,5,non-work,Not Sure,non-work,2,3,2-Mar,non-work,non-work
2033,30131288,HOME_RENT,6,1,Rarely,4,5,5,2,3,3,3,4,2,3,1,0,1,1,2,1,3,22,Daily,1,1,1,0,1,1,52,50 - 60,3,1,5-10 miles,Oct-20,3,3,2-Mar,1,1
2034,30131290,HOME_RENT,1,1,Never,4,4,4,4,2,1,,2,2,5,1,0,1,1,2,1,1,23,Rarely,1,1,1,0,1,0,67,>60,4,0,<=5 miles,Oct-20,2,5,4-May,1,1
