,HOUSEID,HOMEOWN,HHFAMINC,WALK,BIKE,TAXI,BUS,TRAIN,PRICE,PLACE,WALK2SAVE,BIKE2SAVE,PTRANS,HHRELATD,CNTTDHH,NUMADLT,YOUNGCHILD,WRKCOUNT,LIF_CYC,RAIL,URBAN,URBANSIZE,CDIVMSAR,WEBUSE17,DRVRCNTPROP,WRKCOUNT_ratio,NUMADLT_ratio,YOUNGCHILD_ratio,HHSIZE_cleaned,VEHOWN,AVG_AGE,AVG_AGE_binned,HIGH_EDUC,FT_ratio,AVG_WORK_DIST,AVG_TIME,HEALTH,avg_trips,avg_trips_binned,one_job,flexible_work
1958,30126298,HOME_RENT,5,5,Never,5,5,5,1,2,3,5,3,1,3,0.5,0,0.5,5,2,4,6,23,Daily,0.5,>0.5,>0.5,0,2,1,30,<=30,2,0.5,>15 miles,20 - 30,3,1.5,<=2,0.5,0.5
1959,30126309,HOME_OWN,6,2,Never,5,4,4,4,2,4,4,4,1,8,1,0,0,2,1,1,5,21,Daily,1,0,1,0,2,1,56.5,50 - 60,5,non-work,Not Sure,non-work,2,4,3-Apr,non-work,non-work
1960,30126415,HOME_OWN,8,2,Never,5,5,4,5,3,2,5,5,2,4,1,0,0,9,2,1,1,23,Daily,1,0,1,0,1,1,71,>60,5,non-work,Not Sure,non-work,4,4,3-Apr,non-work,non-work
1961,30126447,HOME_OWN,10,4,Never,5,5,4,3,3,3,3,3,1,7,1,0,1,2,1,4,6,21,Daily,1,1,1,0,2,1,56,50 - 60,4,1,<=5 miles,<=10,2,3.5,3-Apr,1,0.5
1962,30126484,HOME_OWN,11,5,Never,2,2,5,4,3,3,3,2,1,8,1,0,0,10,1,1,5,21,Daily,0.5,0,1,0,2,0,68.5,>60,5,non-work,Not Sure,non-work,3,4,3-Apr,non-work,non-work
1963,30126573,HOME_OWN,8,5,Never,5,5,4,2,4,4,4,4,1,7,1,0,1,2,1,4,6,21,Daily,1,1,1,0,2,1,61.5,>60,4,1,10 - 15 miles,20 - 30,2,3.5,3-Apr,0,0.5
1964,30126621,HOME_OWN,11,3,Rarely,5,5,5,4,4,5,5,5,1,0,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,63.5,>60,5,0.5,<=5 miles,<=10,2,0,<=2,1,0
1965,30126702,HOME_OWN,10,4,Rarely,5,5,5,3,3,4,4,4,1,11,1,0,1,2,2,2,6,23,Daily,1,1,1,0,2,1,52.5,50 - 60,4,1,>15 miles,>30,2,5.5,>5,0.5,0.5
1966,30126783,HOME_OWN,1,3,Never,5,5,5,1,1,3,3,3,2,7,1,0,0,1,2,4,6,23,Daily,1,0,1,0,1,1,63,>60,2,non-work,Not Sure,non-work,4,7,>5,non-work,non-work
1967,30126826,HOME_OWN,11,4,Never,4,5,4,3,2,4,4,3,1,7,1,0,0.5,10,2,1,1,23,Daily,1,>0.5,1,0,2,1,59.5,50 - 60,5,0.5,5-10 miles,Oct-20,1,3.5,3-Apr,0.5,0
1968,30126865,HOME_RENT,2,2,Never,3,3,4,3,2,2,5,4,2,3,1,0,0,1,2,2,6,24,Rarely,0,0,1,0,1,0,57,50 - 60,2,non-work,Not Sure,non-work,3,3,2-Mar,non-work,non-work
1969,30127009,HOME_OWN,7,1,Never,4,5,4,2,2,3,5,5,1,7,1,0,1,2,2,1,3,23,Daily,1,1,1,0,2,1,40.5,40 - 50,4,0.5,5-10 miles,Oct-20,1,3.5,3-Apr,0.5,0.5
1970,30127120,HOME_OWN,6,5,Never,5,5,5,4,3,5,5,5,1,0,1,0,0,10,2,4,6,24,Daily,1,0,1,0,2,1,73,>60,4,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
1971,30127230,HOME_OWN,8,,,-9,-9,-9,2,3,4,,,1,7,1,0,1,2,2,4,6,23,Daily,1,1,1,0,2,1,73,>60,5,0.5,5-10 miles,20 - 30,2,3.5,3-Apr,1,0.5
1972,30127282,HOME_OWN,5,2,Never,4,5,5,2,4,4,4,4,2,8,1,0,1,1,2,2,6,24,Daily,1,1,1,0,1,1,64,>60,4,0,<=5 miles,<=10,3,8,>5,1,1
1973,30127374,HOME_OWN,6,5,Never,5,5,5,5,5,5,5,5,2,3,1,0,0,9,2,4,6,24,Daily,1,0,1,0,1,1,75,>60,2,non-work,Not Sure,non-work,1,3,2-Mar,non-work,non-work
1974,30127471,HOME_OWN,6,,,-9,-9,-9,1,3,3,4,5,1,0,0.5,0,0.5,6,2,4,6,23,Daily,0.5,>0.5,>0.5,0,>2,1,30.75,30 - 40,5,0.5,5-10 miles,Oct-20,2,0,<=2,0.5,<0.5
1975,30127472,HOME_RENT,3,2,Never,5,5,5,4,4,4,4,4,2,4,1,0,1,1,1,4,6,21,Rarely,1,1,1,0,1,1,61,>60,5,0,10 - 15 miles,20 - 30,3,4,3-Apr,1,0
1976,30127576,HOME_OWN,8,1,Never,5,5,5,4,2,5,5,5,1,6,1,0,0,10,2,4,6,24,Daily,1,0,1,0,2,1,71.5,>60,5,non-work,Not Sure,non-work,2,3,2-Mar,non-work,non-work
1977,30127592,HOME_OWN,4,4,Never,5,4,4,3,4,3,3,2,1,1,1,0,0,10,2,4,6,22,Daily,1,0,1,0,2,1,64.5,>60,4,non-work,Not Sure,non-work,2,0.5,<=2,non-work,non-work
1978,30127804,HOME_OWN,6,1,Rarely,4,2,4,1,3,4,4,4,1,6,0.5,0,0.5,7,2,4,6,23,Daily,1,>0.5,>0.5,0,2,1,32.5,30 - 40,2,0.5,5-10 miles,Oct-20,3,3,2-Mar,0.5,0.5
1979,30127876,HOME_OWN,2,2,Rarely,4,5,4,1,3,4,5,5,1,6,1,0,0.5,10,2,1,2,23,Daily,1,>0.5,1,0,2,1,59,50 - 60,3,0,5-10 miles,Oct-20,2,3,2-Mar,0.5,0.5
1980,30127899,HOME_OWN,8,1,Never,5,5,5,3,5,3,3,3,1,4,1,0,1,2,2,1,2,23,Daily,1,1,1,0,>2,1,49,40 - 50,4,<0.5,Not Sure,non-work,2,1.333333333,<=2,<0.5,0
1981,30128066,HOME_OWN,11,3,Never,4,5,4,3,3,4,4,3,1,10,0.75,0,0.5,8,1,1,5,21,Daily,1,>0.5,>0.5,0,>2,1,38.25,30 - 40,5,<0.5,>15 miles,>30,2,2.5,2-Mar,0.5,<0.5
1982,30128246,HOME_OWN,8,5,Never,5,5,4,1,4,4,4,4,1,2,1,0,1,2,2,4,6,23,Daily,1,1,1,0,2,1,54.5,50 - 60,2,0.5,>15 miles,>30,4,1,<=2,0.5,0.5
1983,30128255,HOME_OWN,4,1,Rarely,5,5,5,1,1,1,1,3,2,2,1,0,0,1,2,4,6,24,Daily,1,0,1,0,1,1,46,40 - 50,2,non-work,Not Sure,non-work,2,2,<=2,non-work,non-work
1984,30128314,HOME_OWN,8,2,Never,4,4,4,5,2,3,5,5,2,2,1,0,1,1,1,1,5,21,Daily,1,1,1,0,1,1,30,<=30,5,1,5-10 miles,20 - 30,2,2,<=2,1,1
1985,30128436,HOME_OWN,6,4,Never,5,5,5,2,2,2,3,3,1,0,0.4,0,0.4,6,2,4,6,24,Daily,0.4,<0.5,<0.5,0,>2,1,22.2,<=30,2,<0.5,>15 miles,>30,3,0,<=2,<0.5,<0.5
1986,30128522,HOME_RENT,3,2,Never,5,4,4,2,3,2,3,4,2,2,1,0,1,1,2,1,1,23,Daily,1,1,1,0,1,1,27,<=30,4,1,<=5 miles,20 - 30,4,2,<=2,1,0
1987,30128577,HOME_OWN,,1,Rarely,3,5,2,4,3,4,4,2,1,15,0.666666667,0,0.666666667,6,1,1,5,21,Daily,0.666666667,>0.5,>0.5,0,>2,1,36.33333333,30 - 40,5,>0.5,>15 miles,>30,2,5,4-May,<0.5,0
1988,30128646,HOME_OWN,7,2,Rarely,4,4,5,2,4,4,4,4,1,16,1,0,0,7,2,4,6,24,Daily,1,0,1,0,2,1,40.5,40 - 50,3,non-work,Not Sure,non-work,1,8,>5,non-work,non-work
1989,30128721,HOME_RENT,1,,Daily,-9,-9,-9,1,1,2,2,2,1,4,0.5,0.5,0.5,3,2,1,2,23,Daily,0.5,>0.5,>0.5,>0.5,2,1,24,<=30,2,0.5,5-10 miles,Oct-20,2,4,3-Apr,0.5,0.5
1990,30128722,HOME_OWN,7,5,Never,5,5,5,4,4,4,4,4,1,20,1,0,0.333333333,10,2,1,2,23,Daily,1,<0.5,1,0,>2,1,51,50 - 60,5,0,<=5 miles,Oct-20,3,6.666666667,>5,<0.5,0
1991,30128729,HOME_OWN,3,1,Never,5,5,5,4,4,4,4,4,2,0,1,0,0,9,2,1,3,22,Daily,1,0,1,0,1,1,64,>60,2,non-work,Not Sure,non-work,1,0,<=2,non-work,non-work
1992,30128737,HOME_OWN,6,1,,4,1,4,2,2,2,3,1,1,16,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,28.5,<=30,4,1,<=5 miles,<=10,2,8,>5,1,0
1993,30128868,HOME_OWN,5,1,Never,5,5,4,1,1,5,5,5,1,13,1,0,0,10,1,1,2,21,Daily,0.5,0,1,0,2,1,65,>60,4,non-work,Not Sure,non-work,3,6.5,>5,non-work,non-work
1994,30128931,HOME_OWN,8,4,Never,5,5,5,2,2,5,5,5,1,14,1,0,0,10,1,1,2,21,Daily,1,0,1,0,2,1,67,>60,3,non-work,Not Sure,non-work,2,7,>5,non-work,non-work
1995,30128960,HOME_OWN,6,1,Never,5,4,5,3,2,3,3,4,1,3,0.666666667,0,0.666666667,6,1,1,5,21,Rarely,0.666666667,>0.5,>0.5,0,>2,1,31.66666667,30 - 40,3,<0.5,5-10 miles,Oct-20,2,1,<=2,>0.5,<0.5
1996,30129028,HOME_RENT,6,2,Never,4,4,5,5,2,1,5,1,2,0,1,0,0,9,2,2,6,24,Daily,0,0,1,0,1,0,71,>60,5,non-work,Not Sure,non-work,3,0,<=2,non-work,non-work
1997,30129089,HOME_OWN,8,1,Never,5,5,5,3,3,4,5,5,1,9,1,0,1,2,2,4,6,22,Daily,1,1,1,0,2,1,54,50 - 60,4,1,>15 miles,20 - 30,3,4.5,4-May,1,0.5
1998,30129100,HOME_OWN,5,5,Never,5,2,5,5,4,5,5,5,1,15,1,0,1,8,2,4,6,23,Daily,1,1,1,0,>2,1,40.66666667,40 - 50,4,>0.5,10 - 15 miles,20 - 30,3,5,4-May,1,0
1999,30129225,HOME_RENT,2,1,Never,4,1,5,1,1,1,3,1,2,5,1,0,0,9,2,2,6,22,Daily,1,0,1,0,1,1,57,50 - 60,2,non-work,Not Sure,non-work,4,5,4-May,non-work,non-work
2000,30129297,HOME_OWN,8,1,Never,5,5,5,5,2,3,5,5,1,9,1,0,0.5,10,2,2,6,24,Daily,1,>0.5,1,0,2,1,65,>60,5,0.5,<=5 miles,<=10,3,4.5,4-May,0.5,0.5
2001,30129368,HOME_OWN,9,4,Never,4,5,3,2,3,4,5,4,1,10,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,31.5,30 - 40,4,1,>15 miles,>30,2,5,4-May,1,0.5
2002,30129399,HOME_RENT,3,2,Never,2,5,5,2,2,2,5,2,2,5,1,0,0,9,2,2,6,22,Never,0,0,1,0,1,0,82,>60,1,non-work,Not Sure,non-work,2,5,4-May,non-work,non-work
2003,30129560,HOME_OWN,,1,Rarely,4,5,1,1,2,3,3,1,1,19,1,0,0.333333333,2,1,4,6,21,Daily,1,<0.5,1,0,>2,1,49.66666667,40 - 50,4,<0.5,Not Sure,non-work,1,6.333333333,>5,<0.5,0
2004,30129563,HOME_OWN,,4,Never,5,5,5,2,3,4,4,4,1,20,1,0,0,10,2,1,3,22,Never,0.5,0,1,0,2,1,70.5,>60,3,non-work,Not Sure,non-work,2,10,>5,non-work,non-work
2005,30129695,HOME_RENT,11,1,Rarely,1,4,3,4,2,2,2,3,1,12,1,0,1,2,1,1,5,21,Daily,1,1,1,0,2,1,31.5,30 - 40,4,1,<=5 miles,Oct-20,1,6,>5,1,0.5
2006,30129730,HOME_OWN,10,4,Rarely,5,5,5,3,2,4,4,5,1,6,1,0,0.5,10,2,2,6,24,Daily,1,>0.5,1,0,2,1,61,>60,5,0.5,>15 miles,>30,3,3,2-Mar,0.5,0.5
2007,30129731,HOME_OWN,6,2,Rarely,5,5,5,4,3,4,4,4,1,5,1,0,0,10,2,2,6,24,Daily,0.5,0,1,0,2,1,81.5,>60,5,non-work,Not Sure,non-work,4,2.5,2-Mar,non-work,non-work
2008,30129799,HOME_RENT,,1,Never,3,3,1,5,2,2,5,1,2,8,1,0,1,1,1,1,5,21,Daily,1,1,1,0,1,0,30,<=30,4,1,5-10 miles,20 - 30,1,8,>5,1,0
2009,30129813,HOME_OWN,4,5,Never,5,5,4,3,3,4,5,5,2,9,1,0,0,9,2,1,3,22,Daily,1,0,1,0,1,1,79,>60,2,non-work,Not Sure,non-work,1,9,>5,non-work,non-work
2010,30129946,HOME_RENT,6,1,Daily,4,3,1,3,3,2,1,3,2,6,1,0,1,1,1,1,5,21,Daily,0,1,1,0,1,0,46,40 - 50,3,1,<=5 miles,Oct-20,1,6,>5,1,0
2011,30129966,HOME_RENT,3,4,Never,5,5,5,1,2,4,4,4,1,3,0.333333333,0,0.333333333,5,2,4,6,24,Daily,0.333333333,<0.5,<0.5,0,>2,1,17.33333333,<=30,2,0,10 - 15 miles,Oct-20,4,1,<=2,<0.5,<0.5
2012,30130018,HOME_OWN,9,2,Rarely,5,5,5,4,4,4,4,5,1,11,1,0,1,2,2,1,1,23,Daily,1,1,1,0,2,1,36,30 - 40,4,1,<=5 miles,<=10,1,5.5,>5,1,0.5
2013,30130039,HOME_OWN,10,,,-9,-9,-9,4,3,4,5,5,1,13,1,0,0.333333333,10,1,1,5,21,Daily,0.666666667,<0.5,1,0,>2,1,61.66666667,>60,5,0,5-10 miles,Oct-20,4,4.333333333,4-May,<0.5,<0.5
2014,30130046,HOME_OWN,5,3,Never,5,5,5,2,1,4,5,5,2,2,1,0,1,1,2,1,3,23,Daily,1,1,1,0,1,1,62,>60,3,1,10 - 15 miles,>30,2,2,<=2,1,1
2015,30130075,HOME_RENT,3,,,-9,-9,-9,4,4,,,,2,0,1,0,0,9,1,1,5,21,Never,1,0,1,0,1,1,82,>60,2,non-work,Not Sure,non-work,5,0,<=2,non-work,non-work
2016,30130094,HOME_OWN,5,5,Never,5,5,5,4,4,5,5,5,1,9,1,0,0,10,1,1,1,21,Daily,1,0,1,0,2,1,69.5,>60,5,non-work,Not Sure,non-work,2,4.5,4-May,non-work,non-work
2017,30130150,HOME_OWN,10,2,Rarely,4,4,4,1,1,2,5,2,1,20,0.5,0,0.25,6,1,1,5,21,Daily,0.25,<0.5,>0.5,0,>2,1,32.25,30 - 40,5,<0.5,>15 miles,>30,1,5,4-May,0,0
2018,30130229,HOME_OWN,7,5,Never,4,4,4,1,2,5,4,4,1,2,1,0,1,2,2,4,6,23,Daily,1,1,1,0,2,1,50.5,50 - 60,3,0.5,<=5 miles,Oct-20,4,1,<=2,0.5,0.5
2019,30130327,HOME_OWN,,1,Rarely,5,4,4,3,2,3,3,3,1,19,1,0,0,10,2,1,2,23,Daily,1,0,1,0,2,1,67,>60,5,non-work,Not Sure,non-work,2,9.5,>5,non-work,non-work
2020,30130329,HOME_RENT,7,1,Never,4,5,5,3,3,3,5,5,2,3,1,0,1,1,2,1,1,23,Daily,1,1,1,0,1,1,55,50 - 60,4,1,<=5 miles,Oct-20,3,3,2-Mar,1,1
2021,30130340,HOME_OWN,10,2,Never,4,5,2,4,4,4,4,4,1,3,1,0,1,10,1,4,6,21,Daily,1,1,1,0,2,1,56.5,50 - 60,5,0,>15 miles,>30,1,1.5,<=2,0.5,0.5
2022,30130638,HOME_OWN,6,5,Never,4,4,4,5,5,5,5,5,1,19,1,0,1,2,2,1,1,23,Daily,1,1,1,0,>2,1,38.5,30 - 40,5,<0.5,>15 miles,20 - 30,3,4.75,4-May,>0.5,<0.5
2023,30130670,HOME_RENT,6,3,Never,4,5,5,3,3,4,4,4,1,7,1,0,1,2,1,1,2,21,Daily,1,1,1,0,2,1,33,30 - 40,3,1,10 - 15 miles,>30,4,3.5,3-Apr,1,0.5
2024,30130674,HOME_RENT,9,2,Never,4,5,4,2,4,2,2,3,1,9,1,0,0.5,2,1,2,6,21,Daily,1,>0.5,1,0,2,1,51.5,50 - 60,3,0.5,>15 miles,>30,2,4.5,4-May,0.5,0
